start_hour_str,dow_str,start_station_name,city,avg_duration,number_of_trips
Afternoon,Thursday,Temporary Transbay Terminal (Howard at Beale),San Francisco,9.5,1547
Afternoon,Thursday,Embarcadero at Sansome,San Francisco,11.4,1527
Morning,Tuesday,2nd at Townsend,San Francisco,7.7,1521
Afternoon,Monday,2nd at Folsom,San Francisco,7.3,1507
Morning,Monday,2nd at Townsend,San Francisco,7.8,1505
Afternoon,Friday,San Francisco Caltrain 2 (330 Townsend),San Francisco,11.4,1499
Afternoon,Monday,Howard at 2nd,San Francisco,7.7,1452
Afternoon,Wednesday,Howard at 2nd,San Francisco,9.5,1447
Afternoon,Friday,Market at 10th,San Francisco,10.3,1436
Afternoon,Thursday,Howard at 2nd,San Francisco,8.4,1431
Afternoon,Friday,Market at Sansome,San Francisco,9.7,1430
Morning,Friday,Grant Avenue at Columbus Avenue,San Francisco,9.7,1428
Afternoon,Thursday,Steuart at Market,San Francisco,10.2,1427
Morning,Wednesday,2nd at Townsend,San Francisco,7.5,1398
Afternoon,Tuesday,Embarcadero at Folsom,San Francisco,10.0,1393
Afternoon,Tuesday,Broadway St at Battery St,San Francisco,10.7,1388
Afternoon,Friday,2nd at South Park,San Francisco,10.6,1373
Afternoon,Monday,Embarcadero at Folsom,San Francisco,9.2,1366
Afternoon,Wednesday,Broadway St at Battery St,San Francisco,9.4,1364
Afternoon,Thursday,2nd at Folsom,San Francisco,6.8,1358
Mid Morning,Wednesday,Steuart at Market,San Francisco,8.0,1342
Afternoon,Monday,Market at 4th,San Francisco,10.1,1341
Mid Morning,Tuesday,Steuart at Market,San Francisco,8.6,1325
Afternoon,Wednesday,Embarcadero at Folsom,San Francisco,9.9,1305
Morning,Thursday,2nd at Townsend,San Francisco,7.5,1287
Afternoon,Thursday,Broadway St at Battery St,San Francisco,10.5,1258
Afternoon,Tuesday,Market at 4th,San Francisco,9.4,1236
Morning,Friday,2nd at Townsend,San Francisco,7.7,1234
Morning,Tuesday,Embarcadero at Bryant,San Francisco,7.6,1225
Mid Morning,Tuesday,Temporary Transbay Terminal (Howard at Beale),San Francisco,9.2,1225
Mid Morning,Thursday,Steuart at Market,San Francisco,8.7,1223
Afternoon,Monday,Broadway St at Battery St,San Francisco,9.0,1221
Mid Morning,Monday,2nd at Townsend,San Francisco,9.0,1216
Afternoon,Wednesday,Market at 4th,San Francisco,8.1,1215
Afternoon,Friday,Embarcadero at Sansome,San Francisco,9.8,1207
Morning,Tuesday,Townsend at 7th,San Francisco,8.3,1207
Morning,Thursday,Embarcadero at Bryant,San Francisco,7.9,1203
Mid Morning,Wednesday,Temporary Transbay Terminal (Howard at Beale),San Francisco,8.8,1196
Morning,Tuesday,Market at 10th,San Francisco,11.3,1195
Morning,Wednesday,Market at 10th,San Francisco,9.9,1191
Morning,Wednesday,Embarcadero at Bryant,San Francisco,7.9,1185
Mid Morning,Tuesday,2nd at Townsend,San Francisco,8.9,1176
Afternoon,Thursday,Market at 4th,San Francisco,9.3,1176
Afternoon,Tuesday,Commercial at Montgomery,San Francisco,10.3,1165
Afternoon,Thursday,Embarcadero at Folsom,San Francisco,9.2,1157
Afternoon,Friday,Steuart at Market,San Francisco,12.1,1155
Mid Morning,Monday,Steuart at Market,San Francisco,8.8,1144
Mid Morning,Thursday,Temporary Transbay Terminal (Howard at Beale),San Francisco,9.2,1133
Afternoon,Wednesday,Commercial at Montgomery,San Francisco,9.0,1131
Morning,Tuesday,Civic Center BART (7th at Market),San Francisco,8.9,1130
Morning,Monday,Embarcadero at Bryant,San Francisco,7.7,1122
Mid Morning,Wednesday,2nd at Townsend,San Francisco,8.5,1113
Morning,Wednesday,Townsend at 7th,San Francisco,8.9,1113
Afternoon,Friday,2nd at Folsom,San Francisco,7.9,1111
Morning,Monday,Townsend at 7th,San Francisco,9.3,1106
Afternoon,Monday,Commercial at Montgomery,San Francisco,9.8,1098
Morning,Thursday,Market at 10th,San Francisco,9.4,1095
Morning,Monday,Market at 10th,San Francisco,9.9,1093
Morning,Thursday,Townsend at 7th,San Francisco,8.2,1082
Mid Morning,Tuesday,Market at Sansome,San Francisco,7.4,1078
Afternoon,Tuesday,Embarcadero at Vallejo,San Francisco,9.9,1071
Mid Morning,Friday,Steuart at Market,San Francisco,8.0,1069
Afternoon,Tuesday,5th at Howard,San Francisco,8.9,1062
Afternoon,Monday,Harry Bridges Plaza (Ferry Building),San Francisco,10.5,1060
Afternoon,Wednesday,Embarcadero at Vallejo,San Francisco,9.9,1059
Afternoon,Wednesday,5th at Howard,San Francisco,7.8,1056
Afternoon,Thursday,5th at Howard,San Francisco,7.8,1056
Morning,Tuesday,Embarcadero at Sansome,San Francisco,9.2,1054
Afternoon,Tuesday,Harry Bridges Plaza (Ferry Building),San Francisco,10.4,1053
Mid Morning,Wednesday,Harry Bridges Plaza (Ferry Building),San Francisco,9.6,1051
Morning,Friday,Embarcadero at Bryant,San Francisco,7.7,1049
Morning,Wednesday,Embarcadero at Sansome,San Francisco,7.9,1049
Afternoon,Friday,Howard at 2nd,San Francisco,7.6,1049
Mid Morning,Tuesday,Harry Bridges Plaza (Ferry Building),San Francisco,8.9,1048
Afternoon,Thursday,Commercial at Montgomery,San Francisco,8.9,1041
Mid Morning,Thursday,Harry Bridges Plaza (Ferry Building),San Francisco,9.2,1037
Mid Morning,Wednesday,Market at Sansome,San Francisco,8.0,1035
Afternoon,Thursday,Embarcadero at Vallejo,San Francisco,9.2,1027
Morning,Friday,Market at 10th,San Francisco,9.4,1026
Afternoon,Tuesday,San Jose Diridon Caltrain Station,San Jose,9.1,1025
Afternoon,Friday,Broadway St at Battery St,San Francisco,9.9,1020
Afternoon,Tuesday,Mechanics Plaza (Market at Battery),San Francisco,9.3,1018
Afternoon,Tuesday,Powell Street BART,San Francisco,8.4,1010
Afternoon,Friday,Temporary Transbay Terminal (Howard at Beale),San Francisco,9.7,1008
Afternoon,Thursday,Harry Bridges Plaza (Ferry Building),San Francisco,12.4,1007
Afternoon,Friday,Market at 4th,San Francisco,9.7,1007
Mid Morning,Thursday,2nd at Townsend,San Francisco,10.9,1006
Afternoon,Monday,Embarcadero at Vallejo,San Francisco,15.0,1005
Mid Morning,Monday,Temporary Transbay Terminal (Howard at Beale),San Francisco,8.8,1003
Afternoon,Monday,5th at Howard,San Francisco,7.4,1003
Morning,Monday,Embarcadero at Sansome,San Francisco,8.6,1001
Morning,Thursday,Civic Center BART (7th at Market),San Francisco,8.5,1001
Mid Morning,Thursday,Market at Sansome,San Francisco,7.4,995
Mid Morning,Friday,Temporary Transbay Terminal (Howard at Beale),San Francisco,8.9,986
Afternoon,Thursday,Powell Street BART,San Francisco,8.6,984
Morning,Monday,Civic Center BART (7th at Market),San Francisco,9.1,981
Morning,Wednesday,Civic Center BART (7th at Market),San Francisco,9.4,979
Afternoon,Wednesday,Harry Bridges Plaza (Ferry Building),San Francisco,10.5,974
Afternoon,Tuesday,Spear at Folsom,San Francisco,9.9,973
Afternoon,Monday,Mechanics Plaza (Market at Battery),San Francisco,9.1,973
Afternoon,Monday,San Jose Diridon Caltrain Station,San Jose,9.2,969
Afternoon,Tuesday,Beale at Market,San Francisco,9.4,962
Morning,Thursday,Embarcadero at Sansome,San Francisco,8.6,962
Afternoon,Wednesday,Beale at Market,San Francisco,9.4,959
Afternoon,Monday,Powell Street BART,San Francisco,9.6,956
Afternoon,Wednesday,Mechanics Plaza (Market at Battery),San Francisco,10.1,950
Mid Morning,Monday,Market at Sansome,San Francisco,7.6,945
Mid Morning,Friday,2nd at Townsend,San Francisco,8.5,943
Morning,Tuesday,San Jose Diridon Caltrain Station,San Jose,7.9,937
Mid Morning,Monday,Harry Bridges Plaza (Ferry Building),San Francisco,9.0,937
Afternoon,Tuesday,Yerba Buena Center of the Arts (3rd @ Howard),San Francisco,7.6,935
Morning,Wednesday,South Van Ness at Market,San Francisco,12.9,929
Morning,Tuesday,South Van Ness at Market,San Francisco,12.7,929
Afternoon,Monday,Yerba Buena Center of the Arts (3rd @ Howard),San Francisco,10.8,927
Mid Morning,Friday,Harry Bridges Plaza (Ferry Building),San Francisco,10.2,923
Morning,Friday,Embarcadero at Sansome,San Francisco,8.9,918
Afternoon,Thursday,Mechanics Plaza (Market at Battery),San Francisco,11.9,918
Afternoon,Monday,Beale at Market,San Francisco,9.3,911
Mid Morning,Tuesday,Beale at Market,San Francisco,13.7,910
Morning,Tuesday,Market at Sansome,San Francisco,6.6,908
Afternoon,Thursday,San Jose Diridon Caltrain Station,San Jose,11.0,896
Mid Morning,Friday,Market at Sansome,San Francisco,6.6,894
Afternoon,Friday,5th at Howard,San Francisco,7.6,892
Afternoon,Monday,Davis at Jackson,San Francisco,10.1,890
Afternoon,Thursday,Beale at Market,San Francisco,9.6,890
Morning,Monday,Market at Sansome,San Francisco,6.8,889
Afternoon,Thursday,Yerba Buena Center of the Arts (3rd @ Howard),San Francisco,7.5,887
Afternoon,Wednesday,Yerba Buena Center of the Arts (3rd @ Howard),San Francisco,8.1,882
Morning,Wednesday,Market at Sansome,San Francisco,6.8,882
Afternoon,Friday,Harry Bridges Plaza (Ferry Building),San Francisco,11.7,881
Mid Morning,Wednesday,Beale at Market,San Francisco,7.1,879
Morning,Friday,Townsend at 7th,San Francisco,8.9,879
Morning,Thursday,San Jose Diridon Caltrain Station,San Jose,7.7,877
Morning,Wednesday,San Jose Diridon Caltrain Station,San Jose,8.0,875
Afternoon,Wednesday,Davis at Jackson,San Francisco,10.5,875
Afternoon,Friday,Embarcadero at Folsom,San Francisco,9.6,875
Afternoon,Wednesday,Powell Street BART,San Francisco,8.3,870
Morning,Friday,Civic Center BART (7th at Market),San Francisco,8.0,869
Afternoon,Wednesday,San Jose Diridon Caltrain Station,San Jose,9.2,865
Afternoon,Tuesday,Davis at Jackson,San Francisco,9.9,864
Mid Morning,Thursday,Beale at Market,San Francisco,7.0,862
Morning,Tuesday,Beale at Market,San Francisco,7.6,858
Morning,Thursday,Market at Sansome,San Francisco,7.5,857
Afternoon,Wednesday,Clay at Battery,San Francisco,10.4,841
Morning,Thursday,South Van Ness at Market,San Francisco,13.5,841
Afternoon,Wednesday,Spear at Folsom,San Francisco,9.2,836
Mid Morning,Monday,Beale at Market,San Francisco,6.7,835
Morning,Thursday,Beale at Market,San Francisco,6.5,828
Afternoon,Tuesday,Clay at Battery,San Francisco,10.7,826
Afternoon,Thursday,Spear at Folsom,San Francisco,10.3,809
Afternoon,Monday,Clay at Battery,San Francisco,10.7,802
Morning,Monday,South Van Ness at Market,San Francisco,13.2,800
Afternoon,Friday,Commercial at Montgomery,San Francisco,10.6,799
Afternoon,Thursday,Clay at Battery,San Francisco,10.5,797
Afternoon,Monday,Spear at Folsom,San Francisco,12.3,795
Mid Morning,Friday,Beale at Market,San Francisco,6.6,794
Morning,Wednesday,Beale at Market,San Francisco,7.7,789
Morning,Friday,South Van Ness at Market,San Francisco,13.0,777
Morning,Friday,San Jose Diridon Caltrain Station,San Jose,7.1,767
Morning,Tuesday,Powell Street BART,San Francisco,8.4,763
Afternoon,Thursday,Davis at Jackson,San Francisco,10.3,761
Morning,Monday,San Jose Diridon Caltrain Station,San Jose,8.0,760
Afternoon,Wednesday,South Van Ness at Market,San Francisco,10.9,760
Afternoon,Friday,Embarcadero at Vallejo,San Francisco,9.3,758
Afternoon,Tuesday,South Van Ness at Market,San Francisco,13.5,744
Morning,Tuesday,Powell at Post (Union Square),San Francisco,7.5,743
Morning,Monday,Beale at Market,San Francisco,7.7,733
Afternoon,Friday,Spear at Folsom,San Francisco,10.6,731
Morning,Wednesday,Powell at Post (Union Square),San Francisco,7.6,730
Afternoon,Friday,Powell Street BART,San Francisco,10.5,727
Morning,Wednesday,Powell Street BART,San Francisco,8.8,718
Afternoon,Monday,South Van Ness at Market,San Francisco,10.9,716
Afternoon,Thursday,South Van Ness at Market,San Francisco,11.0,703
Mid Morning,Tuesday,Powell Street BART,San Francisco,7.0,688
Morning,Tuesday,Spear at Folsom,San Francisco,9.4,683
Mid Morning,Wednesday,Powell Street BART,San Francisco,9.9,675
Afternoon,Friday,Yerba Buena Center of the Arts (3rd @ Howard),San Francisco,8.7,673
Mid Morning,Tuesday,Market at 10th,San Francisco,9.6,670
Morning,Thursday,Powell Street BART,San Francisco,8.1,669
Morning,Wednesday,2nd at South Park,San Francisco,8.1,668
Morning,Friday,Market at Sansome,San Francisco,6.6,668
Afternoon,Friday,San Jose Diridon Caltrain Station,San Jose,14.2,667
Morning,Wednesday,2nd at Folsom,San Francisco,7.0,667
Afternoon,Tuesday,Post at Kearny,San Francisco,8.6,666
Mid Morning,Thursday,Grant Avenue at Columbus Avenue,San Francisco,14.9,664
Mid Morning,Thursday,Powell Street BART,San Francisco,7.1,663
Mid Morning,Tuesday,Mountain View Caltrain Station,Mountain View,5.3,662
Afternoon,Friday,Clay at Battery,San Francisco,15.8,659
Mid Morning,Tuesday,Civic Center BART (7th at Market),San Francisco,10.2,659
Morning,Thursday,Powell at Post (Union Square),San Francisco,8.2,657
Mid Morning,Thursday,Civic Center BART (7th at Market),San Francisco,9.5,654
Mid Morning,Friday,Grant Avenue at Columbus Avenue,San Francisco,9.2,654
Morning,Monday,Powell Street BART,San Francisco,8.1,650
Afternoon,Friday,Mechanics Plaza (Market at Battery),San Francisco,9.1,648
Mid Morning,Wednesday,Mountain View Caltrain Station,Mountain View,5.9,646
Morning,Tuesday,2nd at Folsom,San Francisco,7.5,645
Mid Morning,Wednesday,Grant Avenue at Columbus Avenue,San Francisco,9.7,637
Mid Morning,Wednesday,Civic Center BART (7th at Market),San Francisco,9.6,636
Mid Morning,Friday,Embarcadero at Bryant,San Francisco,8.3,631
Afternoon,Monday,Post at Kearny,San Francisco,8.7,630
Mid Morning,Thursday,Market at 10th,San Francisco,9.9,630
Morning,Tuesday,2nd at South Park,San Francisco,9.2,623
Mid Morning,Thursday,Mountain View Caltrain Station,Mountain View,5.3,621
Mid Morning,Monday,Grant Avenue at Columbus Avenue,San Francisco,9.8,621
Mid Morning,Friday,Market at 10th,San Francisco,9.3,620
Morning,Friday,Powell Street BART,San Francisco,7.4,617
Morning,Wednesday,Spear at Folsom,San Francisco,8.9,617
Morning,Thursday,2nd at South Park,San Francisco,7.4,616
Afternoon,Wednesday,Post at Kearny,San Francisco,10.1,615
Mid Morning,Thursday,Embarcadero at Bryant,San Francisco,8.3,613
Mid Morning,Tuesday,Grant Avenue at Columbus Avenue,San Francisco,9.1,612
Morning,Monday,Spear at Folsom,San Francisco,9.2,606
Morning,Thursday,Spear at Folsom,San Francisco,8.5,606
Afternoon,Thursday,Post at Kearny,San Francisco,8.7,605
Mid Morning,Monday,Mountain View Caltrain Station,Mountain View,6.4,604
Afternoon,Friday,Beale at Market,San Francisco,9.9,603
Morning,Monday,Powell at Post (Union Square),San Francisco,7.7,600
Morning,Friday,Beale at Market,San Francisco,6.9,596
Mid Morning,Monday,Powell Street BART,San Francisco,7.9,595
Mid Morning,Wednesday,Market at 10th,San Francisco,10.3,589
Morning,Thursday,2nd at Folsom,San Francisco,6.7,587
Mid Morning,Monday,Civic Center BART (7th at Market),San Francisco,10.3,582
Mid Morning,Monday,Embarcadero at Bryant,San Francisco,8.7,580
Morning,Wednesday,Golden Gate at Polk,San Francisco,11.6,580
Morning,Thursday,Golden Gate at Polk,San Francisco,10.3,579
Afternoon,Friday,South Van Ness at Market,San Francisco,11.6,578
Mid Morning,Friday,Powell Street BART,San Francisco,7.5,574
Morning,Monday,2nd at South Park,San Francisco,6.8,573
Afternoon,Friday,Davis at Jackson,San Francisco,14.1,571
Morning,Tuesday,Embarcadero at Folsom,San Francisco,9.6,567
Mid Morning,Monday,Market at 10th,San Francisco,9.5,566
Mid Morning,Thursday,Embarcadero at Sansome,San Francisco,10.3,562
Mid Morning,Tuesday,Townsend at 7th,San Francisco,11.0,561
Mid Morning,Tuesday,Embarcadero at Sansome,San Francisco,11.3,559
Mid Morning,Friday,Civic Center BART (7th at Market),San Francisco,9.6,557
Mid Morning,Wednesday,Embarcadero at Bryant,San Francisco,8.5,550
Morning,Tuesday,Golden Gate at Polk,San Francisco,10.3,550
Morning,Monday,2nd at Folsom,San Francisco,6.5,549
Mid Morning,Tuesday,Embarcadero at Bryant,San Francisco,8.1,548
Morning,Tuesday,5th at Howard,San Francisco,8.0,544
Mid Morning,Friday,Embarcadero at Sansome,San Francisco,11.0,542
Morning,Friday,Powell at Post (Union Square),San Francisco,7.2,542
Mid Morning,Wednesday,Embarcadero at Sansome,San Francisco,11.5,540
Afternoon,Tuesday,Civic Center BART (7th at Market),San Francisco,10.0,536
Mid Morning,Wednesday,Powell at Post (Union Square),San Francisco,8.0,532
Mid Morning,Thursday,2nd at South Park,San Francisco,8.1,527
Morning,Friday,2nd at South Park,San Francisco,6.7,524
Morning,Friday,2nd at Folsom,San Francisco,6.8,520
Afternoon,Tuesday,Embarcadero at Bryant,San Francisco,8.2,517
Mid Morning,Tuesday,Market at 4th,San Francisco,7.9,516
